Donation's information
Date,Product of Donate,Details of Food,Details of Money,Total,Unit,Name of Origination/Individual,Address,City,State,Zip,Email
,,,,,,,,,,,
Donation's information
Date,Product of Donate,Details of Food,Details of Money,Total,Unit,Name of Origination/Individual,Address,City,State,Zip,Email
,,,,,,ccc,,,,,
Donation's information
Date,Product of Donate,Details of Food,Details of Money,Total,Unit,Name of Origination/Individual,Address,City,State,Zip,Email
,,,,,,,,,,,
Donation's information
Date,Product of Donate,Details of Food,Details of Money,Total,Unit,Name of Origination/Individual,Address,City,State,Zip,Email
11/06/2016,Food,Bread,cash,5,Pounds,Eric Zhang,1234 Apple Street,College Station,Texas,77840,example@gmail.com
11/04/2016,Money,"",cash,100,Dollars,Jessie Chen,1234 Apple Street,College Station,Texas,77840,example@gmail.com
11、05、2016,Food,Milk,cash,1000,Pounds,Eric Zhang,1234 Apple Street,College Station,Texas,77840,example@gmail.com
11/05/2016,Money,"",cash,100000,Dollars,Eric Zhang,1234 Apple Street,College Station,Texas,77840,example@gmail.com
"",Food,Rice,cash,1000000000,Pounds,Jessie Chen,1234 Apple Street,College Station,Texas,77840,example@gmail.com
